2024-11-03 00:42:13.3561 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 00:49:03.1214 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 00:52:20.5306 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 00:52:51.5124 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 10:36:03.5227 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 10:38:26.1797 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 10:43:46.2932 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 10:44:53.8279 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 10:47:58.1007 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 10:48:47.8760 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 11:01:21.3267 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 11:05:10.0562 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 11:07:04.2286 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 11:24:33.6455 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 11:25:44.8154 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 11:28:52.5433 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 11:31:21.0781 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 11:32:13.1209 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 11:33:15.6547 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 11:33:31.0932 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 11:33:47.8217 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 12:51:17.1770 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 12:53:56.7856 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 13:00:02.2366 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 

2024-11-03 13:02:09.9512 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"unfollow","Follow":null,"WebhookEventId":"01JBR6AK9TNGGA2XTY84PV0BBE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730610023649,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":null,"Mode":"active"}]} 

2024-11-03 13:22:51.4358 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"unfollow","Follow":null,"WebhookEventId":"01JBR6AK9TNGGA2XTY84PV0BBE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730610023649,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":null,"Mode":"active"}]} 

2024-11-03 13:23:07.6152 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"unfollow","Follow":null,"WebhookEventId":"01JBR6AK9TNGGA2XTY84PV0BBE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730610023649,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":null,"Mode":"active"}]} 

2024-11-03 13:23:40.3157 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBR6F8R1D7HZ4E0PE3VJWNFH","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730610176252,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"158f3a205453456b8cf8afa4638f1ce5","Mode":"active"}]} 

2024-11-03 13:36:09.3946 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBR6F8R1D7HZ4E0PE3VJWNFH","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730610176252,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"158f3a205453456b8cf8afa4638f1ce5","Mode":"active"}]} 

2024-11-03 13:36:29.0513 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBR6F8R1D7HZ4E0PE3VJWNFH","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730610176252,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"158f3a205453456b8cf8afa4638f1ce5","Mode":"active"}]} 

2024-11-03 13:48:23.3742 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBR6F8R1D7HZ4E0PE3VJWNFH","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730610176252,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"158f3a205453456b8cf8afa4638f1ce5","Mode":"active"}]} 

