20240112,HO 1309,018-90923840 ,C2038,51
0H4FEPF2,7,69.3,,
0H4FEPJJ,1,9.9,0H4FEPJJ,
0H4FEPM7,1,9.9,0H4FEPJJ,
0H4FEPGQ,1,9.9,0H4FEPGQ,
0H4FEPH3,1,9.9,0H4FEPGQ,
0H4FEP8S,1,9.9,0H4FEP8S,
0H4FEPQ7,1,9.9,0H4FEP8S,
0H4FEPJ6,1,9.9,0H4FEPJ6,
0H4FEPJK,1,9.9,0H4FEPJ6,
0H4FEPJT,1,9.9,0H4FEPJ6,
0H4FEPJY,1,9.9,0H4FEPJ6,
0H4FEPK9,1,9.9,0H4FEPJ6,
0H4FEPMG,1,9.9,0H4FEPJ6,
0H4FEP75,1,9.9,,
0H4FEP82,1,9.9,,
0H4FEP84,1,9.9,,
0H4FEP8F,1,9.9,,
0H4FEP95,1,9.9,,
0H4FEP96,1,9.9,,
0H4FEP99,1,9.9,,
0H4FEPE1,1,9.9,,
0H4FEPE8,1,9.9,,
0H4FEPE9,1,9.9,,
0H4FEPEG,1,9.9,,
0H4FEPEU,1,9.9,,
0H4FEPEV,1,9.9,,
0H4FEPF3,1,9.9,,
0H4FEPF8,1,9.9,,
0H4FEPFU,1,9.9,,
0H4FEPG0,1,9.9,,
0H4FEPH4,1,9.9,,
0H4FEPH8,1,9.9,,
0H4FEPHU,1,9.9,,
0H4FEPKH,1,9.9,,
0H4FEPKS,1,9.9,,
0H4FEPKT,1,9.9,,
0H4FEPKZ,1,9.9,,
0H4FEPMF,1,9.9,,
0H4FEPMP,1,9.9,,
0H4FEPN8,1,9.9,,
0H4FEPNJ,1,9.9,,
0H4FEPP7,1,9.9,,
0H4FEPP8,1,9.9,,
0H4FEPPJ,1,9.9,,
0H4FEPPM,1,9.9,,
