20240304,JL 6719,131-47386441,C2038,168
ECESEXX014449464,1,1,,ZZZA,X
ECESEXX014456005,1,1,,ZZZA,X
ECFJP00000060656,1,1,,ZZZA,X
ECRAK01100622947,1,1,,ZZZA,X
ECTSO00000272597,1,1,,ZZZA,X
ECTSO00000272627,1,1,,ZZZA,X
ECTSO00000272797,1,1,,ZZZA,X
ECTSO00000272824,1,1,,ZZZA,X
ECTSO00000273285,1,1,,ZZZA,X
ESECMJ1007360987,1,1,,ZZZA,X
ESECMJ1007361030,1,1,,ZZZA,X
ESECMJ1007361136,1,1,,ZZZA,X
ESECMJ1007361219,1,1,,ZZZA,X
ESECMJ1007361252,1,1,,ZZZA,X
ESECMJ1007362972,1,1,,ZZZA,X
ESECMJ1007363010,1,1,,ZZZA,X
ESECMJ1007363274,1,1,,ZZZA,X
ESECMJ1007363618,1,1,,ZZZA,X
ESECMJ1007364616,1,1,,ZZZA,X
ESECMJ1007364677,1,1,,ZZZA,X
0H4U00SF,1,4,,,X
0H4U00SG,1,4,,,X
0H4U00SH,1,5,,,X
0H4U00SJ,1,5,,,X
0H4U00SK,1,5,,,X
0H4U00SM,1,4,,,X
0H4U00SN,1,5,,,X
0H4U00SP,1,4,,,X
0H4U00SQ,1,7,,,X
0H4U00SR,1,6,,,X
0H4U00SS,1,4,,,X
0H4U00ST,1,5,,,X
0H4U00SU,1,12,,,X
0H4U00TV,1,16,,,X
0H4U00TW,1,17,,,X
0H4U00TX,1,14,,,X
0H4U00TY,1,18,,,X
0H4U00TZ,1,19,,,X
0H4U00U0,1,19,,,X
0H4U011G,1,14,,,X
0H4U011K,1,19,,,X
0H4U011N,1,18,,,X
0H4U011P,1,20,,,X
0H4U011Q,1,18,,,X
0H4U011R,1,17,,,X
0H4U011S,1,19,,,X
0H4U011T,1,19,,,X
0H4U011U,1,19,,,X
0H4U011V,1,14,,,X
0H4U011W,1,19,,,X
0H4U01KN,1,8,,,X
0H4U01KP,1,9,,,X
0H4U01KQ,1,13,,,X
0H4U01KR,1,11,,,X
0H4U01KS,1,17,,,X
0H4U01KT,1,16,,,X
0H4U01KU,1,11,,,X
0H4U01KV,1,19,,,X
0H4U01NX,1,19,,,X
0H4U01NZ,1,7,,,X
0H4U01P0,1,5,,,X
0H4U01P1,1,6,,,X
0H4U01P2,1,6,,,X
0H4U01P3,1,7,,,X
0H4U01P4,1,5,,,X
0H4U01P5,1,6,,,X
0H4U01Q6,1,16,,,X
0H4U01Q7,1,19,,,X
0H4U01Q9,1,14,,,X
0H4U01QE,1,10,,,X
0H4U01QF,1,11,,,X
0H4U01QG,1,19,,,X
0H4U01QH,1,18,,,X
0H4U01QJ,1,19,,,X
0H4U01QK,1,19,,,X
0H4U01QM,1,16,,,X
0H4U01WW,1,18,,,X
0H4U01WX,1,12,,,X
0H4U01WY,1,18,,,X
0H4U01WZ,1,17,,,X
0H4U01X1,1,16,,,X
0H4U01X2,1,10,,,X
0H4U01X3,1,18,,,X
0H4U01X4,1,18,,,X
0H4U01X5,1,19,,,X
0H4U01X6,1,19,,,X
0H4U01YS,1,18,,,X
0H4U020K,1,19,,,X
0H4U020M,1,19,,,X
0H4U020N,1,17,,,X
0H4U020P,1,15,,,X
0H4U020Q,1,20,,,X
0H4U020R,1,19,,,X
0H4U020S,1,16,,,X
0H4U020T,1,20,,,X
0H4U020U,1,18,,,X
0H4U020V,1,17.9,,,X
0H4U020W,1,19.4,,,X
0H4U020X,1,18.9,,,X
0H4U020Y,1,18.9,,,X
0H4U020Z,1,18,,,X
0H4U0210,1,19,,,X
0H4U0211,1,20,,,X
0H4U0212,1,18,,,X
0H4U0213,1,19,,,X
0H4U0214,1,19,,,X
ECESEXX014391185,1,17.1,,,X
ECESEXX014393433,1,16.5,,,X
ECESEXX014405873,1,16.7,,,X
ECESEXX014437732,1,13.5,,,X
ECESEXX014448617,1,22.7,,,X
ECESEXX014448633,1,8.7,,,X
ECESEXX014448700,1,11.6,,,X
ECESEXX014452239,1,17.9,,,X
ECESEXX014452534,1,11.8,,,X
ECESEXX014452544,1,6.3,,,X
ECESEXX014452563,1,10.8,,,X
ECESEXX014452827,1,21.3,,,X
ECESEXX014452832,1,18.4,,,X
ECESEXX014452850,1,22.7,,,X
ECESEXX014461518,1,13.5,,,X
ECNMI00300015660,1,4.4,,,X
ECNRCNXX00139578,1,10.8,,,X
ECTSO00000272791,1,19.9,,,X
ECTSO00000272792,1,8.2,,,X
ECTSO00000272793,1,9.6,,,X
ECTSO00000272799,1,23.4,,,X
ECTSO00000272800,1,22.7,,,X
ECTSO00000272801,1,22.5,,,X
ECTSO00000272803,1,17.7,,,X
ECTSO00000272809,1,11.2,,,X
ECTSO00000272810,1,10.6,,,X
ECTSO00000272837,1,12.9,,,X
ECTSO00000272839,1,8.7,,,X
ECTSO00000273227,1,10.5,,,X
ECTSO00000273241,1,22.8,,,X
ECTSO00000273242,1,11.4,,,X
ECTSO00000273243,1,19.3,,,X
ECTSO00000273244,1,15,,,X
